year,month,mean_billete_compra,mean_billete_venta,mean_divisa_compra,mean_divisa_venta,overall_mean,foto_mes
2018,1,18.7677419354839,19.2677419354839,18.923064516129,19.023064516129,18.9954032258064,201801
2018,2,19.5857142857143,20.0857142857143,19.7351785714286,19.8351785714286,19.8104464285714,201802
2018,3,19.9806451612903,20.4806451612903,20.1293548387097,20.2293548387097,20.205,201803
2018,4,20.005,20.505,20.1511,20.2511,20.22805,201804
2018,5,23.1241935483871,24.0338709677419,23.5004516129032,23.6004516129032,23.5647419354839,201805
2018,6,26.15,27.15,26.5743333333333,26.6743333333333,26.6371666666667,201806
2018,7,27.1096774193548,28.1096774193548,27.5076451612903,27.6076451612903,27.5836612903226,201807
2018,8,29.4193548387097,30.4322580645161,29.8343548387097,29.9375806451613,29.9058870967742,201808
2018,9,37.85,39.13,38.2960666666667,38.4960666666667,38.4430333333333,201809
2018,10,36.1586206896552,37.9586206896552,36.8641379310345,37.0641379310345,37.0113793103448,201810
2018,11,35.48,37.28,36.1781666666667,36.3781666666667,36.3290833333333,201811
2018,12,36.9225806451613,38.7225806451613,37.6259677419355,37.8259677419355,37.7742741935484,201812
2019,1,36.4677419354839,38.2677419354839,37.155,37.355,37.3113709677419,201901
2019,2,37.4428571428571,39.2428571428571,38.1503214285714,38.3503214285714,38.2965892857143,201902
2019,3,40.3193548387097,42.2806451612903,41.1141935483871,41.3141935483871,41.2570967741935,201903
2019,4,42.2233333333333,44.2233333333333,43.0155,43.2155,43.1694166666667,201904
2019,5,43.8258064516129,45.8258064516129,44.6248387096774,44.8248387096774,44.7753225806452,201905
2019,6,42.7566666666667,44.7566666666667,43.5363,43.7363,43.6964833333333,201906
2019,7,41.4516129032258,43.4516129032258,42.261935483871,42.461935483871,42.4067741935484,201907
2019,8,50.2032258064516,53.8161290322581,52.0267741935484,52.2267741935484,52.0682258064516,201908
2019,9,54.5357142857143,57.9375,56.3117857142857,56.5117857142857,56.3241964285714,201909
2019,10,57.274,61.194,58.46628,58.66628,58.90014,201910
2019,11,57.8796296296296,62.75,59.5307407407407,59.7307407407407,59.9727777777778,201911
2019,12,57.9285714285714,62.7589285714286,59.6785,59.8785,60.061125,201912
2020,1,58,63,59.7874642857143,59.9874642857143,60.1937321428571,202001
2020,2,58.2738095238095,63.2738095238095,61.1175714285714,61.3175714285714,60.9956904761905,202002
2020,3,59.7608695652174,64.7608695652174,63.1859565217392,63.3859565217392,62.7734130434783,202003
2020,4,62.1333333333333,67.1333333333334,65.4605333333334,65.6605333333333,65.0969333333334,202004
2020,5,64.6916666666667,69.6916666666667,67.5076666666667,67.7076666666667,67.3996666666667,202005
2020,6,66.9137931034483,71.9137931034483,69.3127586206897,69.5127586206897,69.413275862069,202006
2020,7,69.875,74.875,71.11,71.31,71.7925,202007
2020,8,72.15625,77.15625,72.9404166666667,73.1404166666667,73.8483333333333,202008
2020,9,74.1057692307692,79.1057692307692,74.9634615384615,75.1634615384615,75.8346153846154,202009
2020,10,76.75,82.5714285714286,77.3978571428571,77.5978571428572,78.5792857142857,202010
2020,11,79.0833333333333,85.0833333333333,79.7063333333333,79.9063333333333,80.9448333333333,202011
2020,12,81.698275862069,87.698275862069,82.3617241379311,82.561724137931,83.58,202012
2021,1,84.8333333333333,90.8333333333333,85.6079166666667,85.8079166666667,86.770625,202101
